boxoffice,year,month,day,reday,compete,ip,series,cost,monthsearch,weeksearch,import,volume,director,actor,type
1.0,0.0,11.0,21.0,0.0,0.625,0.0,0.0,0.165853658537,0.00155151683386,0.0105840192388,1.0,0.12254458829,0.5,0.588487446418,0.0846349111542
3.0,0.0,11.0,28.0,0.0,0.5,1.0,0.0,0.0,0.00065493342388,0.00706536832092,0.0,0.231946962598,1.0,0.586956521739,0.0793571069814
3.0,0.0,12.0,2.0,0.0,0.375,0.0,0.0,0.1393728223,0.0,0.0177099520802,0.0,0.199603900139,1.0,0.592614651578,0.0627507996511
7.0,0.0,12.0,5.0,0.0,0.25,1.0,0.0,0.01393728223,0.122410588731,0.25398100933,0.0,0.210724235047,0.75,0.5910693302,0.0490331491713
2.0,0.0,12.0,12.0,0.0,0.375,0.0,0.0,0.0,0.00148335914548,0.0218726549713,0.0,0.177714003422,0.75,0.593043478261,0.0443128097055
7.0,0.0,12.0,18.0,0.3,0.375,0.0,0.0,0.104529616725,0.00900982678963,0.0521076453105,0.0,0.26511889362,1.0,0.601830663616,0.0545755391648
8.0,0.0,12.0,23.0,0.3,0.5,0.0,0.0,0.0696864111498,0.00143348010988,0.0631850438133,0.0,0.396533394109,1.0,0.61038961039,0.0729834254144
4.0,0.0,12.0,24.0,0.3,0.375,0.0,0.0,0.0174216027875,0.0,0.0108824102907,0.0,0.224423484355,1.0,0.605351170569,0.0598435534161
1.0,0.0,12.0,31.0,0.3,0.5,1.0,0.0,0.00348432055749,0.000441166128479,0.0669356125289,0.0,0.115455915906,0.5,0.590533847001,0.0694785069398
5.0,0.333333333333,1.0,4.0,0.0,0.375,0.0,1.0,0.309756097561,0.000519857277801,0.0151706737729,1.0,0.311811822645,0.5,0.598913043478,0.0765021544318
5.0,0.333333333333,1.0,8.0,0.0,0.375,0.0,0.0,0.00696864111498,0.0567288832766,0.0452668088702,0.0,0.32740690189,0.75,0.6038647343,0.0776086729907
2.0,0.333333333333,1.0,16.0,0.0,0.25,1.0,0.0,0.234146341463,0.0,0.00795315555923,1.0,0.191925725228,0.5,0.611876988335,0.0888624980637
8.0,0.333333333333,1.0,23.0,0.0,0.25,1.0,1.0,0.780487804878,0.00507279086216,0.0342736098227,1.0,0.38583767927,1.0,0.619696176008,0.105354278585
6.0,0.333333333333,1.0,30.0,0.0,0.125,1.0,0.0,0.00696864111498,0.760349202818,1.0,0.0,0.335444125856,0.25,0.61801242236,0.1107506716
4.0,0.333333333333,1.0,30.0,0.0,0.375,1.0,1.0,0.0348432055749,0.00439245320897,0.0459729025473,0.0,0.21551601206,0.25,0.588746803069,0.113711702662
3.0,0.333333333333,2.0,8.0,0.7,0.375,1.0,1.0,0.30487804878,0.0,0.0223881919866,1.0,0.189858646716,0.5,0.590495449949,0.129425463915
4.0,0.333333333333,2.0,10.0,0.7,1.0,0.0,0.0,0.0174216027875,0.00684179268352,0.052550800338,0.0,0.218879868807,1.0,0.586206896552,0.124640883978
9.0,0.333333333333,2.0,19.0,0.7,0.5,0.0,1.0,0.0452961672474,0.0027560490723,0.0463879910896,0.0,0.393802966102,0.75,0.593873517787,0.132451293981
8.0,0.333333333333,2.0,19.0,0.7,0.5,0.0,0.0,0.158536585366,0.0173086449663,0.0558493509256,0.0,0.282189639016,0.5,0.595505617978,0.14497999619
8.0,0.333333333333,2.0,19.0,0.3,0.625,0.0,0.0,0.104529616725,0.00138731876638,0.0253957374395,0.0,0.281223262304,0.75,0.585507246377,0.147471313217
6.0,0.333333333333,2.0,19.0,0.7,0.5,0.0,1.0,0.0801393728223,0.00369507613369,0.0318185309706,0.0,0.182633102795,0.5,0.59292881032,0.133296034688
3.0,0.333333333333,2.0,19.0,0.7,1.0,1.0,1.0,0.0104529616725,0.0019579845028,0.0073740996567,0.0,0.134656764382,0.5,0.586011342155,0.0912983425414
2.0,0.333333333333,2.0,19.0,0.7,1.0,1.0,0.0,0.0222996515679,0.00122095204518,0.0148486477863,0.0,0.0957604200619,0.75,0.593267882188,0.0892230806263
0.0,0.333333333333,2.0,19.0,0.7,1.0,1.0,0.0,0.0243902439024,0.00199268296234,0.0262879562281,0.0,0.0583976735658,0.5,0.583718778908,0.085123797831
7.0,0.333333333333,2.0,28.0,0.0,0.625,0.0,0.0,0.40243902439,0.00259990600435,0.0237206114358,1.0,0.336891781087,0.5,0.571624713959,0.0976580848637
4.0,0.333333333333,3.0,6.0,0.0,0.25,0.0,0.0,0.429268292683,0.000984258981867,0.0150923830514,1.0,0.245891307448,1.0,0.576086956522,0.111867403315
6.0,0.333333333333,3.0,13.0,0.0,0.25,1.0,0.0,0.0,0.00348440691503,0.0181782192258,1.0,0.360025617259,0.75,0.575078440161,0.110323226171
3.0,0.333333333333,3.0,20.0,0.0,0.375,0.0,0.0,0.0278745644599,0.010739792844,0.053847767385,0.0,0.252009146838,0.5,0.579414374445,0.0996633287293
3.0,0.333333333333,3.0,20.0,0.0,0.375,0.0,1.0,0.117073170732,0.00600779042378,0.0145886635035,1.0,0.225582754441,0.5,0.578392621871,0.100300774334
6.0,0.333333333333,3.0,27.0,0.3,0.375,0.0,0.0,0.19756097561,0.00122250108355,0.00860163908273,1.0,0.298309286384,0.75,0.585217391304,0.105413524358
7.0,0.333333333333,4.0,2.0,0.3,0.25,0.0,0.0,0.0174216027875,0.0059675154261,0.0665160924362,0.0,0.364094839879,0.75,0.581575548859,0.11429167101
4.0,0.333333333333,4.0,2.0,0.3,0.375,1.0,0.0,0.0174216027875,0.00087830475719,0.0262244373408,0.0,0.241166374674,0.5,0.580562659847,0.105969343248
9.0,0.333333333333,4.0,12.0,0.0,0.5,0.0,1.0,0.609756097561,0.0101740840304,0.173860057551,1.0,0.88155646492,1.0,0.587167581258,0.10651276469
2.0,0.333333333333,4.0,17.0,0.0,0.375,1.0,0.0,0.0174216027875,0.0,0.0243956842609,0.0,0.154617090735,0.75,0.586120401338,0.0964710199588
6.0,0.333333333333,4.0,24.0,0.3,0.375,1.0,0.0,0.0209059233449,0.00896056736938,0.170390153686,0.0,0.340671345339,0.75,0.587577639752,0.0865764070184
2.0,0.333333333333,4.0,24.0,0.3,0.5,1.0,0.0,0.317073170732,0.000539375161294,0.00368557264493,1.0,0.148946789439,0.25,0.586546349467,0.0977322137344
5.0,0.333333333333,4.0,30.0,0.3,0.375,1.0,0.0,0.0,1.0,0.151333010323,0.0,0.323470094524,0.5,0.587972368956,0.0880413473534
3.0,0.333333333333,4.0,30.0,0.3,0.5,0.0,0.0,0.0696864111498,0.0,0.0283249921709,0.0,0.173896879074,0.5,0.591787439614,0.0690705347207
0.0,0.333333333333,5.0,8.0,0.0,0.375,0.0,0.0,0.121951219512,0.000882022449284,0.0072189953971,1.0,0.157133617177,0.75,0.57159952134,0.0817911370398
9.0,0.333333333333,5.0,12.0,0.0,0.375,1.0,1.0,0.609756097561,0.0106009990058,0.167023652661,1.0,0.757283475595,0.75,0.577865612648,0.0983425414365
1.0,0.333333333333,5.0,22.0,0.0,0.375,0.0,0.0,0.0,0.000407087284285,0.00557784461212,1.0,0.156323846969,0.75,0.572267920094,0.0971924681475
1.0,0.333333333333,5.0,26.0,0.0,0.375,0.0,0.0,0.463414634146,0.000491045164073,0.00956476267571,1.0,0.208013542006,0.75,0.573757763975,0.0920810313076
7.0,0.333333333333,5.0,28.0,0.0,0.375,1.0,1.0,0.0,0.00656048731508,0.023391199532,1.0,0.410135241811,0.5,0.563678337822,0.0814364640884
7.0,0.333333333333,6.0,2.0,0.0,0.375,0.0,0.0,0.243902439024,0.000793107646704,0.0137762126199,1.0,0.417223914195,0.25,0.565217391304,0.0877413708222
9.0,0.333333333333,6.0,10.0,0.3,0.5,1.0,0.0,0.365853658537,0.00396894611794,0.0415989624264,1.0,0.677694905068,0.5,0.564461247637,0.103298720464
7.0,0.333333333333,6.0,18.0,0.3,0.5,0.0,1.0,0.0627177700348,0.00543464622597,0.216203520424,0.0,0.365935284591,0.75,0.56371814093,0.0999839081693
0.0,0.333333333333,6.0,19.0,0.3,0.375,0.0,1.0,0.268292682927,0.0010858758991,0.00733126133738,1.0,0.108973297955,0.5,0.562987736901,0.10428397437
4.0,0.333333333333,6.0,26.0,0.0,0.75,0.0,0.0,0.0278745644599,0.00346612826224,0.0148043322835,0.0,0.269505785528,0.25,0.562269712601,0.10847552155
5.0,0.333333333333,7.0,3.0,0.0,0.875,0.0,0.0,0.0696864111498,0.044491480134,0.0868480450955,0.0,0.233510481177,1.0,0.561563755937,0.119475138122
6.0,0.333333333333,7.0,9.0,0.0,0.75,1.0,1.0,0.00696864111498,0.0123114471767,0.0788742089683,0.0,0.27424790682,0.75,0.565217391304,0.114568188427
9.0,0.333333333333,7.0,10.0,0.0,0.75,1.0,0.0,0.0348432055749,0.00202831084491,0.0848494159217,0.0,0.35022497861,0.5,0.549407114625,0.123675807187
5.0,0.333333333333,7.0,10.0,0.0,0.75,0.0,0.0,0.00696864111498,0.0105173509337,0.0955649044853,0.0,0.213802253096,0.75,0.546685673557,0.115300005038
9.0,0.333333333333,7.0,16.0,0.0,0.625,0.0,0.0,0.121951219512,0.00414646591542,0.127302190368,0.0,0.713168187744,0.5,0.546129374337,0.120748186115
9.0,0.333333333333,7.0,17.0,0.0,0.625,0.0,0.0,0.00731707317073,0.0218473273976,0.135153420271,0.0,0.484340622963,0.75,0.541374474053,0.1226387005
2.0,0.333333333333,7.0,30.0,0.0,0.25,0.0,0.0,0.0,0.0,0.00255109577466,0.0,0.00820274303292,0.75,0.547130434783,0.117907438071
1.0,0.333333333333,7.0,30.0,0.0,0.25,1.0,0.0,0.0696864111498,0.000435899398013,0.0394023906737,0.0,0.144603187133,0.25,0.546583850932,0.0948516110106
2.0,0.333333333333,8.0,6.0,0.0,0.375,0.0,0.0,0.0264808362369,0.00104374205537,0.0532524624648,0.0,0.170054926866,0.75,0.5460458747,0.0706600756034
6.0,0.333333333333,8.0,13.0,0.0,0.375,0.0,0.0,0.01393728223,0.00118966147006,0.0227619193931,0.0,0.344276477958,0.5,0.545516304348,0.067872285751
2.0,0.333333333333,8.0,20.0,0.3,0.5,0.0,0.0,0.0,0.00142418587965,0.0124349300701,0.0,0.146441085398,0.25,0.54701718908,0.065116724683
8.0,0.333333333333,8.0,23.0,0.3,0.5,0.0,1.0,0.378048780488,0.00566855102021,0.0223158099988,1.0,0.487967400383,1.0,0.544481605351,0.0790213101815
4.0,0.333333333333,8.0,27.0,0.3,0.625,0.0,0.0,0.0209059233449,0.0335066294195,0.0252022264109,0.0,0.283444400872,0.75,0.545967474278,0.0605074108275
6.0,0.333333333333,8.0,28.0,0.3,0.625,1.0,0.0,0.0,0.00146074318524,0.014127782275,0.0,0.0942484670388,0.25,0.537549407115,0.0578632013073
8.0,0.333333333333,9.0,8.0,0.0,0.625,0.0,1.0,0.365853658537,0.0106146305435,0.0444499264363,1.0,0.606111727917,0.5,0.539065053939,0.0681193864008
6.0,0.333333333333,9.0,13.0,0.3,0.75,0.0,1.0,0.180487804878,0.00188084239185,0.018912379388,1.0,0.395619219565,0.25,0.538611291369,0.0641557368268
9.0,0.333333333333,9.0,25.0,1.0,0.5,0.0,1.0,0.0209059233449,0.017572601105,0.115369502662,0.0,0.715740736025,1.0,0.540096618357,0.0662070225104
9.0,0.333333333333,9.0,30.0,0.7,0.5,0.0,0.0,0.00731707317073,0.0036098790232,0.0127318439385,0.0,0.706361534387,0.5,0.537723785166,0.0682358283509
8.0,0.333333333333,9.0,30.0,0.7,0.5,1.0,0.0,0.0313588850174,0.000675380730396,0.0615453702117,0.0,0.380480590979,0.75,0.539193906696,0.0813906481606
3.0,0.333333333333,9.0,30.0,0.7,0.375,0.0,0.0,0.0278745644599,0.00586032197072,0.0380980377095,0.0,0.170462995029,0.5,0.540642722117,0.0787478965317
7.0,0.333333333333,10.0,16.0,0.0,0.25,1.0,0.0,0.317073170732,0.00781087108934,0.0332233324076,1.0,0.499493257008,0.5,0.542070691273,0.0851984062329
2.0,0.333333333333,10.0,16.0,0.0,0.125,1.0,0.0,0.189024390244,0.000875206680445,0.0178931228248,1.0,0.146599601736,0.5,0.541614906832,0.0870718232044
1.0,0.333333333333,10.0,27.0,0.0,0.375,0.0,1.0,0.19512195122,0.000611250541776,0.004892431503,1.0,0.157743491281,0.5,0.541165587419,0.0831360168377
3.0,0.333333333333,10.0,30.0,0.0,0.375,0.0,0.0,0.0132404181185,0.00680275691653,0.0178369898547,0.0,0.234403647531,0.5,0.540722596448,0.0659503197459
3.0,0.333333333333,11.0,4.0,0.0,0.5,1.0,1.0,0.148780487805,0.00404639803656,0.0143153845699,1.0,0.222477998696,0.5,0.540285801155,0.0754488950276
3.0,0.333333333333,11.0,6.0,0.0,0.5,0.0,1.0,0.0,0.000545261507109,0.00467676272298,0.0,0.266659494174,0.25,0.541666666667,0.0729396272865
7.0,0.333333333333,11.0,13.0,0.0,0.25,0.0,1.0,0.853658536585,0.00248310851107,0.0165075247724,1.0,0.369498400831,1.0,0.546626686657,0.0723331916702
5.0,0.333333333333,11.0,19.0,0.0,0.25,0.0,0.0,0.00557491289199,0.025967149853,0.0286352006901,0.0,0.314893660365,0.5,0.540798094104,0.0655654527004
1.0,0.333333333333,11.0,20.0,0.0,0.5,1.0,1.0,0.390243902439,0.000212218257028,0.00661778174319,1.0,0.152089741892,0.5,0.5421472937,0.0748024337366
1.0,0.333333333333,11.0,20.0,0.0,0.5,0.0,0.0,0.0536585365854,0.0,0.00337240975886,1.0,0.154121806755,0.25,0.534665099882,0.0754046475471
7.0,0.333333333333,11.0,25.0,0.0,0.25,0.0,0.0,0.263414634146,0.00603288484542,0.0260191088448,1.0,0.39826052192,1.0,0.536037350452,0.0844298094543
2.0,0.333333333333,12.0,3.0,0.0,0.375,0.0,0.0,0.00696864111498,0.00464370723299,0.0194353023204,0.0,0.217311893946,0.25,0.537391304348,0.0819818214222
3.0,0.333333333333,12.0,4.0,0.0,0.375,0.0,0.0,0.365853658537,0.000323749019846,0.00346547231463,1.0,0.253517916802,0.25,0.533544486035,0.082519119288
0.0,0.333333333333,12.0,4.0,0.0,0.375,0.0,0.0,0.0,0.000333972673104,0.00221134358696,0.0,0.166775739488,0.5,0.528032036613,0.0900956744374
9.0,0.333333333333,12.0,18.0,0.0,0.5,1.0,0.0,0.0627177700348,0.0079121781989,0.0581818235534,0.0,0.623299609884,0.75,0.532821824382,0.097525822724
4.0,0.333333333333,12.0,18.0,0.0,0.5,1.0,0.0,0.0278745644599,0.0123985031332,0.137177161563,0.0,0.236936089268,0.75,0.534161490683,0.100379418225
8.0,0.333333333333,12.0,24.0,0.3,0.625,0.0,0.0,0.0209059233449,0.0496067146476,0.0742934631679,0.0,0.40351129604,1.0,0.537166900421,0.101991335109
7.0,0.333333333333,12.0,24.0,0.3,0.625,0.0,0.0,0.0278745644599,0.00496993471423,0.0357138636619,0.0,0.30135101756,1.0,0.533444816054,0.104813767216
8.0,0.333333333333,12.0,31.0,0.3,0.625,0.0,0.0,0.0174216027875,0.00286850925814,0.0240633179903,0.0,0.39666135308,0.75,0.533093325948,0.101153528169
2.0,0.666666666667,1.0,4.0,0.0,0.25,1.0,0.0,0.0104529616725,0.0135305403758,0.0329146010718,1.0,0.169767178333,1.0,0.534397358283,0.0855832377775
8.0,0.666666666667,1.0,9.0,0.0,0.375,1.0,1.0,0.487804878049,0.00487761202723,0.0109104767757,1.0,0.518662274894,1.0,0.534044298605,0.0939873458667
2.0,0.666666666667,1.0,15.0,0.0,0.375,0.0,0.0,0.219512195122,0.000375177093812,0.00480084613067,1.0,0.212981660487,0.25,0.533695652174,0.102274187331
